"","week_ending","modzcta","pop_est","casecount","caserate_100k","testcount","testrate_100k","testpos"
"1",2020-08-08,10001,23072,1.6704128,7.24,452.8664448,1962.84,0.368853294206354
"2",2020-08-08,10002,74993,29.8697119,39.83,1588.0217708,2117.56,1.88093843858025
"3",2020-08-08,10003,54682,4.0519362,7.41,1155.8845206,2113.83,0.350548530392699
"4",2020-08-08,10004,3028,0,0,64.184516,2119.7,0
"5",2020-08-08,10005,8831,2.0170004,22.84,174.4572881,1975.51,1.15615714423111
"6",2020-08-08,10006,3454,0,0,73.5370416,2129.04,0
"7",2020-08-08,10007,7023,1.004289,14.3,180.8120511,2574.57,0.555432557669825
"8",2020-08-08,10009,57925,11.1505625,19.25,1321.6573475,2281.67,0.84368028680747
"9",2020-08-08,10010,33730,7.079927,20.99,773.648145,2293.65,0.915135264752687
"10",2020-08-08,10011,50472,5.072436,10.05,1134.3178224,2247.42,0.447179432415837
"11",2020-08-08,10012,23411,9.0998557,38.87,590.5307695,2522.45,1.54096215980495
"12",2020-08-08,10013,28709,5.9772138,20.82,685.3785697,2387.33,0.872103982273084
"13",2020-08-08,10014,30738,1.014354,3.3,874.434624,2844.8,0.116001124859393
"14",2020-08-08,10016,51057,10.0275948,19.64,1161.2965707,2274.51,0.863482684182527
"15",2020-08-08,10017,15801,1.011264,6.4,281.3431254,1780.54,0.359441517741809
"16",2020-08-08,10018,9687,0.8214576,8.48,162.6747597,1679.31,0.50496930286844
"17",2020-08-08,10019,43703,12.0489171,27.57,1015.1944682,2322.94,1.18685803335428
"18",2020-08-08,10021,46215,3.022461,6.54,1370.062161,2964.54,0.220607581614686
"19",2020-08-08,10022,31125,5.036025,16.18,619.555575,1990.54,0.812844755694435
"20",2020-08-08,10023,62435,9.0967795,14.57,1266.231748,2028.08,0.718413474813617
"21",2020-08-08,10024,59001,4.0415685,6.85,1716.1325865,2908.65,0.235504443642239
"22",2020-08-08,10025,92805,6.0787275,6.55,2778.4796145,2993.89,0.218778913052918
"23",2020-08-08,10026,39363,3.0545688,7.76,812.4208296,2063.92,0.375983565254467
"24",2020-08-08,10027,64548,10.1792196,15.77,1341.9787392,2079.04,0.758523164537479
"25",2020-08-08,10028,47793,8.0722377,16.89,1015.983594,2125.8,0.794524414338132
"26",2020-08-08,10029,79597,22.3826764,28.12,2232.4888978,2804.74,1.00258847522409
"27",2020-08-08,10030,29882,6.12581,20.5,611.5261654,2046.47,1.00172492145011
"28",2020-08-08,10031,60254,11.2313456,18.64,1125.996625,1868.75,0.997458193979933
"29",2020-08-08,10032,64264,21.4063384,33.31,1292.3940248,2011.07,1.65633220126599
"30",2020-08-08,10033,59607,14.2579944,23.92,1181.589561,1982.3,1.2066791101246
"31",2020-08-08,10034,42910,16.254308,37.88,829.92231,1934.1,1.95853368491805
"32",2020-08-08,10035,35743,5.0719317,14.19,962.5446928,2692.96,0.526929475372824
"33",2020-08-08,10036,27428,3.0198228,11.01,672.5565024,2452.08,0.449006557697954
"34",2020-08-08,10037,21139,3.0503577,14.43,493.0608333,2332.47,0.618657474694208
"35",2020-08-08,10038,22800,2.99136,13.12,402.86004,1766.93,0.742530830310199
"36",2020-08-08,10039,27726,8.1597618,29.43,576.3348168,2078.68,1.41580233609791
"37",2020-08-08,10040,44571,14.1914064,31.84,930.6246516,2087.96,1.52493342784344
"38",2020-08-08,10044,11682,0,0,532.4632236,4557.98,0
"39",2020-08-08,10065,28109,3.0217175,10.75,862.440338,3068.2,0.350368294113813
"40",2020-08-08,10069,5085,1.618047,31.82,103.568229,2036.74,1.56230053909679
"41",2020-08-08,10075,23140,5.02138,21.7,821.38901,3549.65,0.611327877396363
"42",2020-08-08,10128,59256,4.0471848,6.83,1467.2615184,2476.14,0.27583254581728
"43",2020-08-08,10280,9384,1.004088,10.7,140.5657512,1497.93,0.714319093682615
"44",2020-08-08,10282,5593,1.0039435,17.95,91.3437574,1633.18,1.09908277103565
"45",2020-08-08,10301,38733,10.9498191,28.27,1091.1550896,2817.12,1.00350712784688
"46",2020-08-08,10302,18204,5.9090184,32.46,404.7531972,2223.43,1.45990654079508
"47",2020-08-08,10303,25947,4.8936042,18.86,628.3040103,2421.49,0.778859297374757
"48",2020-08-08,10304,41064,6.8617944,16.71,1311.7155648,3194.32,0.523116030954945
"49",2020-08-08,10305,42298,6.9072634,16.33,822.1504558,1943.71,0.840145906539556
"50",2020-08-08,10306,53142,7.0466292,13.26,1013.391369,1906.95,0.695351215291434
"51",2020-08-08,10307,15232,1.0220672,6.71,236.9764096,1555.78,0.431294913162529
"52",2020-08-08,10308,30186,3.0367116,10.06,458.5494888,1519.08,0.662242936514206
"53",2020-08-08,10309,33531,3.0546741,9.11,508.9771083,1517.93,0.600159427641591
"54",2020-08-08,10310,23262,5.955072,25.6,531.8949348,2286.54,1.11959554610897
"55",2020-08-08,10312,61741,10.1131758,16.38,1091.1610412,1767.32,0.926827060181518
"56",2020-08-08,10314,90761,16.6727957,18.37,2482.7762311,2735.51,0.671538396862011
"57",2020-08-08,10451,47798,30.2752532,63.34,985.8863278,2062.61,3.07086652348238
"58",2020-08-08,10452,76078,34.3948638,45.21,1641.6795542,2157.89,2.09510215998035
"59",2020-08-08,10453,79606,32.3757602,40.67,1519.7263036,1909.06,2.13036782500288
"60",2020-08-08,10454,38203,11.1094324,29.08,652.3735295,1707.65,1.70292507246801
"61",2020-08-08,10455,42283,14.1309786,33.42,848.8143118,2007.46,1.66479033206141
"62",2020-08-08,10456,94218,25.2786894,26.83,1889.5608336,2005.52,1.33780765088356
"63",2020-08-08,10457,74554,18.2060868,24.42,1454.2354132,1950.58,1.25193532180172
"64",2020-08-08,10458,83960,35.51508,42.3,1362.79674,1623.15,2.606043803715
"65",2020-08-08,10459,48351,9.089988,18.8,1009.9895337,2088.87,0.900008138371464
"66",2020-08-08,10460,59505,26.277408,44.16,1003.6291815,1686.63,2.61823873641522
"67",2020-08-08,10461,50348,9.2287884,18.33,982.3952108,1951.21,0.939417079658263
"68",2020-08-08,10462,76756,21.3995728,27.88,1511.3563424,1969.04,1.41591841709666
"69",2020-08-08,10463,71360,13.258688,18.58,1917.985536,2687.76,0.691281959698782
"70",2020-08-08,10464,4434,1.0348956,23.34,97.25979,2193.5,1.06405288351949
"71",2020-08-08,10465,44205,6.1489155,13.91,1162.4721465,2629.73,0.528951641423264
"72",2020-08-08,10466,72479,15.2423337,21.03,1722.7823426,2376.94,0.884750982355465
"73",2020-08-08,10467,103732,30.4868348,29.39,2483.0536304,2393.72,1.22779606637368
"74",2020-08-08,10468,78647,24.2547348,30.84,1603.0303422,2038.26,1.51305525300992
"75",2020-08-08,10469,73870,8.140474,11.02,2149.461873,2909.79,0.378721488492297
"76",2020-08-08,10470,15432,1.0293144,6.67,295.4271216,1914.38,0.348415675048841
"77",2020-08-08,10471,21896,6.18562,28.25,582.4204624,2659.94,1.06205403129394
"78",2020-08-08,10472,68796,13.1537952,19.12,1060.593534,1541.65,1.24022962410404
"79",2020-08-08,10473,59609,14.1154112,23.68,1203.0586425,2018.25,1.17329369503283
"80",2020-08-08,10474,12127,2.025209,16.7,202.5281762,1670.06,0.999964073147072
"81",2020-08-08,10475,43208,12.1328064,28.08,1235.4593064,2859.33,0.982048242070695
"82",2020-08-08,11004,19216,5.0711024,26.39,973.501776,5066.1,0.520913523222992
"83",2020-08-08,11101,30043,2.4455002,8.14,743.0084545,2473.15,0.32913490892182
"84",2020-08-08,11102,30800,6.15076,19.97,708.3692,2299.9,0.868298621679203
"85",2020-08-08,11103,36140,7.242456,20.04,737.541506,2040.79,0.98197266744741
