"","modzcta","casecount","week_ending"
"1",10001,3,2020-08-15
"2",10002,8,2020-08-15
"3",10003,4,2020-08-15
"4",10004,0,2020-08-15
"5",10005,5,2020-08-15
"6",10006,0,2020-08-15
"7",10007,1,2020-08-15
"8",10009,5,2020-08-15
"9",10010,13,2020-08-15
"10",10011,6,2020-08-15
"11",10012,6,2020-08-15
"12",10013,5,2020-08-15
"13",10014,2,2020-08-15
"14",10016,8,2020-08-15
"15",10017,0,2020-08-15
"16",10018,1,2020-08-15
"17",10019,5,2020-08-15
"18",10021,4,2020-08-15
"19",10022,3,2020-08-15
"20",10023,9,2020-08-15
"21",10024,14,2020-08-15
"22",10025,13,2020-08-15
"23",10026,10,2020-08-15
"24",10027,5,2020-08-15
"25",10028,3,2020-08-15
"26",10029,19,2020-08-15
"27",10030,3,2020-08-15
"28",10031,13,2020-08-15
"29",10032,17,2020-08-15
"30",10033,18,2020-08-15
"31",10034,10,2020-08-15
"32",10035,5,2020-08-15
"33",10036,6,2020-08-15
"34",10037,7,2020-08-15
"35",10038,3,2020-08-15
"36",10039,12,2020-08-15
"37",10040,14,2020-08-15
"38",10044,1,2020-08-15
"39",10065,2,2020-08-15
"40",10069,1,2020-08-15
"41",10075,5,2020-08-15
"42",10128,6,2020-08-15
"43",10280,0,2020-08-15
"44",10282,0,2020-08-15
"45",10301,10,2020-08-15
"46",10302,6,2020-08-15
"47",10303,8,2020-08-15
"48",10304,11,2020-08-15
"49",10305,14,2020-08-15
"50",10306,13,2020-08-15
"51",10307,3,2020-08-15
"52",10308,1,2020-08-15
"53",10309,7,2020-08-15
"54",10310,8,2020-08-15
"55",10312,12,2020-08-15
"56",10314,21,2020-08-15
"57",10451,15,2020-08-15
"58",10452,30,2020-08-15
"59",10453,40,2020-08-15
"60",10454,16,2020-08-15
"61",10455,24,2020-08-15
"62",10456,23,2020-08-15
"63",10457,19,2020-08-15
"64",10458,25,2020-08-15
"65",10459,8,2020-08-15
"66",10460,15,2020-08-15
"67",10461,8,2020-08-15
"68",10462,31,2020-08-15
"69",10463,16,2020-08-15
"70",10464,1,2020-08-15
"71",10465,8,2020-08-15
"72",10466,23,2020-08-15
"73",10467,28,2020-08-15
"74",10468,34,2020-08-15
"75",10469,13,2020-08-15
"76",10470,4,2020-08-15
"77",10471,4,2020-08-15
"78",10472,18,2020-08-15
"79",10473,20,2020-08-15
"80",10474,2,2020-08-15
"81",10475,12,2020-08-15
"82",11004,4,2020-08-15
"83",11101,8,2020-08-15
"84",11102,5,2020-08-15
"85",11103,9,2020-08-15
"86",11104,6,2020-08-15
"87",11105,6,2020-08-15
"88",11106,8,2020-08-15
"89",11109,0,2020-08-15
"90",11201,2,2020-08-15
"91",11203,5,2020-08-15
"92",11204,37,2020-08-15
"93",11205,8,2020-08-15
"94",11206,17,2020-08-15
"95",11207,14,2020-08-15
"96",11208,24,2020-08-15
"97",11209,21,2020-08-15
"98",11210,18,2020-08-15
"99",11211,7,2020-08-15
"100",11212,11,2020-08-15
"101",11213,13,2020-08-15
"102",11214,25,2020-08-15
"103",11215,4,2020-08-15
"104",11216,8,2020-08-15
"105",11217,11,2020-08-15
"106",11218,15,2020-08-15
"107",11219,21,2020-08-15
"108",11220,71,2020-08-15
"109",11221,21,2020-08-15
"110",11222,7,2020-08-15
"111",11223,22,2020-08-15
"112",11224,9,2020-08-15
"113",11225,13,2020-08-15
"114",11226,24,2020-08-15
"115",11228,9,2020-08-15
"116",11229,22,2020-08-15
"117",11230,10,2020-08-15
"118",11231,8,2020-08-15
"119",11232,9,2020-08-15
"120",11233,10,2020-08-15
"121",11234,15,2020-08-15
"122",11235,24,2020-08-15
"123",11236,13,2020-08-15
"124",11237,9,2020-08-15
"125",11238,7,2020-08-15
"126",11239,2,2020-08-15
"127",11354,5,2020-08-15
"128",11355,13,2020-08-15
"129",11356,5,2020-08-15
"130",11357,14,2020-08-15
"131",11358,2,2020-08-15
"132",11360,0,2020-08-15
"133",11361,5,2020-08-15
"134",11362,3,2020-08-15
"135",11363,3,2020-08-15
"136",11364,4,2020-08-15
"137",11365,8,2020-08-15
"138",11366,3,2020-08-15
"139",11367,7,2020-08-15
"140",11368,14,2020-08-15
"141",11369,7,2020-08-15
"142",11370,10,2020-08-15
"143",11372,10,2020-08-15
"144",11373,28,2020-08-15
"145",11374,13,2020-08-15
