"","modzcta","casecount","week_ending"
"1",10001,2,2020-08-08
"2",10002,30,2020-08-08
"3",10003,4,2020-08-08
"4",10004,0,2020-08-08
"5",10005,2,2020-08-08
"6",10006,0,2020-08-08
"7",10007,1,2020-08-08
"8",10009,11,2020-08-08
"9",10010,7,2020-08-08
"10",10011,5,2020-08-08
"11",10012,9,2020-08-08
"12",10013,6,2020-08-08
"13",10014,1,2020-08-08
"14",10016,10,2020-08-08
"15",10017,1,2020-08-08
"16",10018,1,2020-08-08
"17",10019,12,2020-08-08
"18",10021,3,2020-08-08
"19",10022,5,2020-08-08
"20",10023,9,2020-08-08
"21",10024,4,2020-08-08
"22",10025,6,2020-08-08
"23",10026,3,2020-08-08
"24",10027,10,2020-08-08
"25",10028,8,2020-08-08
"26",10029,22,2020-08-08
"27",10030,6,2020-08-08
"28",10031,11,2020-08-08
"29",10032,21,2020-08-08
"30",10033,14,2020-08-08
"31",10034,16,2020-08-08
"32",10035,5,2020-08-08
"33",10036,3,2020-08-08
"34",10037,3,2020-08-08
"35",10038,3,2020-08-08
"36",10039,8,2020-08-08
"37",10040,14,2020-08-08
"38",10044,0,2020-08-08
"39",10065,3,2020-08-08
"40",10069,2,2020-08-08
"41",10075,5,2020-08-08
"42",10128,4,2020-08-08
"43",10280,1,2020-08-08
"44",10282,1,2020-08-08
"45",10301,11,2020-08-08
"46",10302,6,2020-08-08
"47",10303,5,2020-08-08
"48",10304,7,2020-08-08
"49",10305,7,2020-08-08
"50",10306,7,2020-08-08
"51",10307,1,2020-08-08
"52",10308,3,2020-08-08
"53",10309,3,2020-08-08
"54",10310,6,2020-08-08
"55",10312,10,2020-08-08
"56",10314,17,2020-08-08
"57",10451,30,2020-08-08
"58",10452,34,2020-08-08
"59",10453,32,2020-08-08
"60",10454,11,2020-08-08
"61",10455,14,2020-08-08
"62",10456,25,2020-08-08
"63",10457,18,2020-08-08
"64",10458,36,2020-08-08
"65",10459,9,2020-08-08
"66",10460,26,2020-08-08
"67",10461,9,2020-08-08
"68",10462,21,2020-08-08
"69",10463,13,2020-08-08
"70",10464,1,2020-08-08
"71",10465,6,2020-08-08
"72",10466,15,2020-08-08
"73",10467,30,2020-08-08
"74",10468,24,2020-08-08
"75",10469,8,2020-08-08
"76",10470,1,2020-08-08
"77",10471,6,2020-08-08
"78",10472,13,2020-08-08
"79",10473,14,2020-08-08
"80",10474,2,2020-08-08
"81",10475,12,2020-08-08
"82",11004,5,2020-08-08
"83",11101,2,2020-08-08
"84",11102,6,2020-08-08
"85",11103,7,2020-08-08
"86",11104,4,2020-08-08
"87",11105,4,2020-08-08
"88",11106,14,2020-08-08
"89",11109,2,2020-08-08
"90",11201,12,2020-08-08
"91",11203,8,2020-08-08
"92",11204,22,2020-08-08
