"","modzcta","lat","lon"
"1",10001,40.750693,-73.997137
"2",10002,40.715781,-73.986176
"3",10003,40.731825,-73.989164
"4",10004,40.703675,-74.013106
"5",10005,40.706092,-74.008861
"6",10006,40.709651,-74.013044
"7",10007,40.713923,-74.007546
"8",10009,40.72638,-73.978704
"9",10010,40.739119,-73.982544
"10",10011,40.741707,-74.000062
"11",10012,40.725576,-73.998078
"12",10013,40.720096,-74.004763
"13",10014,40.73402,-74.006314
"14",10016,40.745174,-73.978319
"15",10017,40.752543,-73.973037
"16",10018,40.755191,-73.992667
"17",10019,40.76528,-73.985974
"18",10021,40.769474,-73.958771
"19",10022,40.758676,-73.968098
"20",10023,40.775901,-73.982658
"21",10024,40.792085,-73.974871
"22",10025,40.798651,-73.966585
"23",10026,40.802341,-73.952521
"24",10027,40.8118,-73.953204
"25",10028,40.776432,-73.953509
"26",10029,40.791777,-73.943969
"27",10030,40.818326,-73.942842
"28",10031,40.825278,-73.950037
"29",10032,40.838768,-73.942824
"30",10033,40.850497,-73.934007
"31",10034,40.867168,-73.924048
"32",10035,40.791,-73.924596
"33",10036,40.75916,-73.989705
"34",10037,40.812957,-73.937419
"35",10038,40.709696,-74.002391
"36",10039,40.830807,-73.936247
"37",10040,40.85831,-73.93049
"38",10044,40.761931,-73.949924
"39",10065,40.764616,-73.963135
"40",10069,40.775924,-73.990256
"41",10075,40.773132,-73.955884
"42",10128,40.781466,-73.950226
"43",10280,40.709318,-74.016654
"44",10282,40.716409,-74.015077
"45",10301,40.628224,-74.096232
"46",10302,40.630598,-74.137891
"47",10303,40.632135,-74.169166
"48",10304,40.605985,-74.0943
"49",10305,40.595474,-74.075437
"50",10306,40.571571,-74.125541
"51",10307,40.507771,-74.24227
"52",10308,40.551574,-74.150454
"53",10309,40.531355,-74.220574
"54",10310,40.632398,-74.11618
"55",10312,40.545128,-74.18169
"56",10314,40.599333,-74.166462
"57",10451,40.820705,-73.923865
"58",10452,40.837364,-73.923461
"59",10453,40.852304,-73.913578
"60",10454,40.805487,-73.916605
"61",10455,40.8147,-73.908583
"62",10456,40.829884,-73.908121
"63",10457,40.847151,-73.898676
"64",10458,40.862531,-73.88817
"65",10459,40.82584,-73.892976
"66",10460,40.841753,-73.879584
"67",10461,40.847415,-73.840601
"68",10462,40.842874,-73.858772
"69",10463,40.880824,-73.906514
"70",10464,40.872311,-73.804653
"71",10465,40.823931,-73.822886
"72",10466,40.890965,-73.845912
"73",10467,40.880939,-73.873956
"74",10468,40.868161,-73.899844
"75",10469,40.86876,-73.846984
"76",10470,40.895986,-73.86802
"77",10471,40.899509,-73.901518
"78",10472,40.829561,-73.869393
"79",10473,40.818135,-73.858718
"80",10474,40.810595,-73.884618
"81",10475,40.868941,-73.824854
"82",11004,40.748068,-73.710907
"83",11101,40.747077,-73.938586
"84",11102,40.772498,-73.925912
"85",11103,40.762536,-73.913541
"86",11104,40.744658,-73.920205
"87",11105,40.778969,-73.906286
"88",11106,40.761792,-73.931771
"89",11109,40.746211,-73.956999
"90",11201,40.694609,-73.989581
"91",11203,40.649576,-73.934363
"92",11204,40.618774,-73.984824
"93",11205,40.694625,-73.966212
"94",11206,40.701957,-73.942361
"95",11207,40.670819,-73.894255
"96",11208,40.668385,-73.871084
"97",11209,40.621811,-74.030011
"98",11210,40.628165,-73.946316
"99",11211,40.712334,-73.953851
"100",11212,40.662935,-73.913011
"101",11213,40.671074,-73.93633
"102",11214,40.598729,-73.99621
"103",11215,40.66252,-73.986872
"104",11216,40.680785,-73.94931
"105",11217,40.682417,-73.97938
"106",11218,40.64348,-73.976044
"107",11219,40.632662,-73.996666
"108",11220,40.641081,-74.016495
"109",11221,40.691339,-73.927885
"110",11222,40.728292,-73.947562
"111",11223,40.597169,-73.973422
"112",11224,40.57666,-73.988581
"113",11225,40.663056,-73.954226
"114",11226,40.646456,-73.956654
"115",11228,40.616715,-74.013054
"116",11229,40.601175,-73.944465
"117",11230,40.622164,-73.965096
"118",11231,40.677562,-74.004445
"119",11232,40.655984,-74.005304
"120",11233,40.678302,-73.919931
"121",11234,40.60758,-73.910513
"122",11235,40.583915,-73.949669
"123",11236,40.640004,-73.901459
"124",11237,40.704153,-73.920883
"125",11238,40.679179,-73.963804
"126",11239,40.64753,-73.882398
"127",11354,40.76863,-73.827229
"128",11355,40.751459,-73.821014
"129",11356,40.784867,-73.841495
"130",11357,40.78639,-73.810964
"131",11358,40.760475,-73.79637
"132",11360,40.78205,-73.7808
"133",11361,40.763748,-73.772419
"134",11362,40.756533,-73.736995
"135",11363,40.772803,-73.746444
"136",11364,40.745279,-73.760578
"137",11365,40.739775,-73.794806
"138",11366,40.728136,-73.784981
"139",11367,40.730383,-73.826297
"140",11368,40.749594,-73.852604
"141",11369,40.768944,-73.872812
"142",11370,40.763466,-73.891021
"143",11372,40.75169,-73.883634
"144",11373,40.738823,-73.8785
"145",11374,40.726441,-73.861497
"146",11375,40.720931,-73.846184
"147",11377,40.744823,-73.90516
"148",11378,40.724768,-73.909399
"149",11379,40.716758,-73.879597
"150",11385,40.701058,-73.890159
"151",11411,40.694202,-73.735998
"152",11412,40.698095,-73.758984
"153",11413,40.669738,-73.750842
"154",11414,40.658266,-73.844905
"155",11415,40.708323,-73.828212
"156",11416,40.684652,-73.849549
"157",11417,40.676457,-73.844522
"158",11418,40.700236,-73.836062
"159",11419,40.688676,-73.822901
"160",11420,40.673518,-73.817812
"161",11421,40.69405,-73.85867
"162",11422,40.660819,-73.73608
"163",11423,40.71491,-73.767865
"164",11426,40.736521,-73.722384
"165",11427,40.730915,-73.745611
"166",11428,40.721015,-73.742206
"167",11429,40.709772,-73.738731
"168",11432,40.715359,-73.793064
"169",11433,40.69823,-73.787095
"170",11434,40.656866,-73.783386
"171",11435,40.701291,-73.809618
"172",11436,40.675819,-73.796618
"173",11691,40.60133,-73.761357
"174",11692,40.592794,-73.792203
"175",11693,40.603699,-73.821926
"176",11694,40.577599,-73.844553
"177",11697,40.55907,-73.907199
