"","modzcta","week_ending","testcount"
"1",10001,2020-08-08,453
"2",10002,2020-08-08,1588
"3",10003,2020-08-08,1156
"4",10004,2020-08-08,64
"5",10005,2020-08-08,174
"6",10006,2020-08-08,74
"7",10007,2020-08-08,181
"8",10009,2020-08-08,1322
"9",10010,2020-08-08,774
"10",10011,2020-08-08,1134
"11",10012,2020-08-08,591
"12",10013,2020-08-08,685
"13",10014,2020-08-08,874
"14",10016,2020-08-08,1161
"15",10017,2020-08-08,281
"16",10018,2020-08-08,163
"17",10019,2020-08-08,1015
"18",10021,2020-08-08,1370
"19",10022,2020-08-08,620
"20",10023,2020-08-08,1266
"21",10024,2020-08-08,1716
"22",10025,2020-08-08,2778
"23",10026,2020-08-08,812
"24",10027,2020-08-08,1342
"25",10028,2020-08-08,1016
"26",10029,2020-08-08,2232
"27",10030,2020-08-08,612
"28",10031,2020-08-08,1126
"29",10032,2020-08-08,1292
"30",10033,2020-08-08,1182
"31",10034,2020-08-08,830
"32",10035,2020-08-08,963
"33",10036,2020-08-08,673
"34",10037,2020-08-08,493
"35",10038,2020-08-08,403
"36",10039,2020-08-08,576
"37",10040,2020-08-08,931
"38",10044,2020-08-08,532
"39",10065,2020-08-08,862
"40",10069,2020-08-08,104
"41",10075,2020-08-08,821
"42",10128,2020-08-08,1467
"43",10280,2020-08-08,141
"44",10282,2020-08-08,91
"45",10301,2020-08-08,1091
"46",10302,2020-08-08,405
"47",10303,2020-08-08,628
"48",10304,2020-08-08,1312
"49",10305,2020-08-08,822
"50",10306,2020-08-08,1013
"51",10307,2020-08-08,237
"52",10308,2020-08-08,459
"53",10309,2020-08-08,509
"54",10310,2020-08-08,532
"55",10312,2020-08-08,1091
"56",10314,2020-08-08,2483
"57",10451,2020-08-08,986
"58",10452,2020-08-08,1642
"59",10453,2020-08-08,1520
"60",10454,2020-08-08,652
"61",10455,2020-08-08,849
"62",10456,2020-08-08,1890
"63",10457,2020-08-08,1454
"64",10458,2020-08-08,1363
"65",10459,2020-08-08,1010
"66",10460,2020-08-08,1004
"67",10461,2020-08-08,982
"68",10462,2020-08-08,1511
"69",10463,2020-08-08,1918
"70",10464,2020-08-08,97
"71",10465,2020-08-08,1162
"72",10466,2020-08-08,1723
"73",10467,2020-08-08,2483
"74",10468,2020-08-08,1603
"75",10469,2020-08-08,2149
"76",10470,2020-08-08,295
"77",10471,2020-08-08,582
"78",10472,2020-08-08,1061
"79",10473,2020-08-08,1203
"80",10474,2020-08-08,203
"81",10475,2020-08-08,1235
"82",11004,2020-08-08,974
"83",11101,2020-08-08,743
"84",11102,2020-08-08,708
"85",11103,2020-08-08,738
"86",11104,2020-08-08,530
"87",11105,2020-08-08,699
"88",11106,2020-08-08,753
"89",11109,2020-08-08,142
"90",11201,2020-08-08,2122
"91",11203,2020-08-08,1472
"92",11204,2020-08-08,794
"93",11205,2020-08-08,846
"94",11206,2020-08-08,1704
"95",11207,2020-08-08,1860
"96",11208,2020-08-08,1711
"97",11209,2020-08-08,1143
"98",11210,2020-08-08,1007
"99",11211,2020-08-08,2116
"100",11212,2020-08-08,1817
"101",11213,2020-08-08,1210
"102",11214,2020-08-08,1143
"103",11215,2020-08-08,1551
"104",11216,2020-08-08,1283
"105",11217,2020-08-08,1053
"106",11218,2020-08-08,1206
"107",11219,2020-08-08,1110
"108",11220,2020-08-08,1604
"109",11221,2020-08-08,1717
"110",11222,2020-08-08,983
"111",11223,2020-08-08,1035
"112",11224,2020-08-08,835
"113",11225,2020-08-08,1146
"114",11226,2020-08-08,2158
"115",11228,2020-08-08,721
"116",11229,2020-08-08,1116
"117",11230,2020-08-08,1267
"118",11231,2020-08-08,803
"119",11232,2020-08-08,574
"120",11233,2020-08-08,1253
"121",11234,2020-08-08,1544
"122",11235,2020-08-08,1260
"123",11236,2020-08-08,2459
"124",11237,2020-08-08,968
"125",11238,2020-08-08,1530
"126",11239,2020-08-08,260
"127",11354,2020-08-08,1511
"128",11355,2020-08-08,1255
"129",11356,2020-08-08,394
"130",11357,2020-08-08,945
"131",11358,2020-08-08,641
"132",11360,2020-08-08,336
"133",11361,2020-08-08,635
"134",11362,2020-08-08,356
"135",11363,2020-08-08,151
"136",11364,2020-08-08,580
"137",11365,2020-08-08,771
"138",11366,2020-08-08,240
"139",11367,2020-08-08,691
"140",11368,2020-08-08,1944
"141",11369,2020-08-08,643
"142",11370,2020-08-08,584
"143",11372,2020-08-08,1463
"144",11373,2020-08-08,1757
"145",11374,2020-08-08,797
"146",11375,2020-08-08,1363
"147",11377,2020-08-08,1775
"148",11378,2020-08-08,692
"149",11379,2020-08-08,875
"150",11385,2020-08-08,1700
"151",11411,2020-08-08,446
"152",11412,2020-08-08,854
"153",11413,2020-08-08,834
"154",11414,2020-08-08,479
"155",11415,2020-08-08,400
"156",11416,2020-08-08,401
"157",11417,2020-08-08,513
